FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC10,POVRATE10,PERPOV10,CHILDPOVRATE10,PERCHLDPOV10,METRO13,POPLOSS00
13091,GA,Dodge,65.484493,29.597174,3.358414,0.463388,0.178932,0.013764,13.832813,23.293265,33731,22.5,0,33.3,0,0,0
13093,GA,Dooly,43.310095,49.477142,5.778254,0.623408,0.107253,0.02011,13.775305,21.175761,32216,25.2,1,34.9,1,0,0
13095,GA,Dougherty,28.884894,66.830223,2.192143,0.760324,0.187173,0.054989,12.115476,25.732565,31200,35.1,1,49.2,1,1,1
13097,GA,Douglas,49.025324,38.811054,8.402378,1.416886,0.242442,0.096675,8.492255,28.347545,52887,12.7,0,19.1,0,1,0
13099,GA,Early,47.692587,49.427689,1.553416,0.336119,0.308866,0.018169,16.269985,26.353561,30572,27.6,1,40.3,1,0,0
13101,GA,Echols,63.336639,4.040654,29.325731,0.297471,1.363411,0.024789,9.866138,29.325731,32674,27,0,40.6,0,1,0
13103,GA,Effingham,80.97799,13.362679,2.872727,0.813397,0.258373,0.030622,9.115789,28.52823,60017,10.6,0,15.1,0,1,0
13105,GA,Elbert,64.246752,29.286919,4.7952,0.60002,0.183477,0.024794,16.810473,23.301597,32888,24.5,0,37.8,1,0,0
13107,GA,Emanuel,60.770865,33.37021,4.075582,0.681476,0.203558,0.013276,13.992389,25.435879,30985,29.5,1,43.1,1,0,0
13109,GA,Evans,56.618182,28.772727,13.1,0.545455,0.081818,0,13.681818,25.790909,32427,24.9,1,37.4,1,0,0
13111,GA,Fannin,96.11097,0.316696,1.819948,0.304028,0.287138,0.025336,21.944937,19.132675,33253,18.2,0,28.2,0,0,0
13113,GA,Fayette,67.752681,19.815703,6.343427,3.852975,0.207381,0.057241,12.710314,26.36745,79276,6.7,0,10,0,1,0
13115,GA,Floyd,73.672353,14.009988,9.330648,1.271842,0.201418,0.058141,14.225941,24.341497,38289,19.1,0,26.3,0,1,0
13117,GA,Forsyth,80.304368,2.442582,9.429608,6.196193,0.206255,0.030767,8.909983,30.428292,81629,7.2,0,8.9,0,1,0
13119,GA,Franklin,85.641188,8.245789,3.921391,0.547908,0.131317,0.018113,16.885528,22.441587,36109,18,0,29,0,0,0
13121,GA,Fulton,40.845292,43.500463,7.882631,5.573002,0.172283,0.031176,9.062103,23.863843,53580,17.7,0,23.9,1,1,0
13123,GA,Gilmer,88.639898,0.346388,9.462039,0.229747,0.254489,0.053019,17.725859,22.016825,39710,15.9,0,28.8,0,0,0
13125,GA,Glascock,89.227774,8.144062,1.070733,0.032446,0.227125,0,15.087605,26.378975,36433,18.5,0,23.5,0,0,0
13127,GA,Glynn,64.805466,25.776756,6.437596,1.122749,0.183357,0.092934,15.040313,24.151659,42993,18.8,0,30.2,1,1,0
13129,GA,Gordon,79.924256,3.524445,14.021672,0.945892,0.235567,0.088791,11.638821,26.9543,40656,18.5,0,26.3,0,0,0
13131,GA,Grady,59.489824,28.503458,9.995602,0.375835,0.539763,0.039982,14.137779,25.696693,31297,28.1,1,38.3,1,0,0
13133,GA,Greene,54.839315,38.001751,5.583344,0.337627,0.237589,0.062523,20.995373,20.61398,36001,27.4,1,41.7,1,0,0
13135,GA,Gwinnett,43.996866,22.863181,20.120548,10.525368,0.190607,0.042592,6.842613,29.144527,57848,13.6,0,19.2,0,1,0
13137,GA,Habersham,80.437257,3.280593,12.390511,2.218815,0.188193,0.109198,15.331893,23.939964,40316,17.3,0,25.6,0,0,0
13139,GA,Hall,63.611674,7.099686,26.104717,1.77033,0.20703,0.031722,11.136217,27.919013,47238,17.8,0,25.2,0,1,0
13141,GA,Hancock,23.45954,73.804221,1.474175,0.498462,0.222717,0.010606,15.568989,18.23099,23887,33.1,1,42,1,0,0
13143,GA,Haralson,92.133426,4.66296,1.104934,0.482974,0.218902,0.006949,14.023628,25.132036,39046,20.7,0,28.7,0,1,0
13145,GA,Harris,77.591806,17.040345,2.722958,0.874344,0.312266,0.053085,13.233825,23.788409,62264,9.4,0,13.2,0,1,0
13147,GA,Hart,76.202753,18.605481,3.117439,0.83687,0.111054,0,17.955023,22.254393,33753,23,0,30.1,0,0,0
13149,GA,Heard,86.107825,9.734663,1.884401,0.473213,0.270407,0.0169,13.224607,25.756295,39614,21.3,0,31.2,0,1,0
13151,GA,Henry,52.511745,36.315846,5.792901,2.894244,0.236365,0.053942,8.360059,29.254813,59371,10.2,0,13.9,0,1,0
13153,GA,Houston,60.54539,28.259471,6.08649,2.401716,0.2802,0.06862,10.415297,26.798427,54977,14.1,0,21.2,0,1,0
13155,GA,Irwin,70.444538,25.781086,2.390438,0.639547,0.020969,0,15.569302,24.271336,32859,24,0,35.1,1,0,0
13157,GA,Jackson,83.814169,6.695875,6.176738,1.696288,0.150451,0.01984,11.898818,26.527238,50409,15.7,0,21.3,0,0,0
13159,GA,Jasper,72.625899,21.798561,3.669065,0.215827,0.28777,0.007194,12.690647,25,43443,18.9,0,30.3,0,1,0
13161,GA,Jeff Davis,73.374038,14.680117,10.465888,0.464561,0.179188,0,12.436952,27.647996,32380,23.6,0,34.7,1,0,0
13163,GA,Jefferson,41.435322,54.264619,3.053751,0.378027,0.10632,0.011813,14.754873,25.227407,29683,28.9,1,44,1,0,1
13165,GA,Jenkins,54.052758,40.203837,4.004796,0.431655,0.263789,0.01199,15.059952,26.810552,27682,28.9,1,45.7,1,0,0
13167,GA,Johnson,62.314629,34.679359,1.863727,0.220441,0.170341,0.03006,13.917836,20.941884,28332,30.5,1,36,1,0,0
13169,GA,Jones,72.656877,24.336391,1.098748,0.648784,0.212773,0.006976,12.508284,26.066483,52215,11.9,0,18.1,0,1,0
13171,GA,Lamar,65.201725,30.68734,1.861659,0.37124,0.18562,0.010919,13.577551,21.122455,40001,17.8,0,26.8,0,1,0
13173,GA,Lanier,68.456043,23.486803,4.57432,1.002183,0.377059,0.029768,10.954554,27.465767,33430,22.6,0,33.7,1,1,0
13175,GA,Laurens,59.710121,35.652641,2.359912,0.98691,0.179626,0.008259,14.213156,25.7567,36568,19.7,0,28.9,1,0,0
13177,GA,Lee,75.811011,18.513676,1.978938,2.152096,0.233232,0.067143,8.318609,28.040851,61489,10.3,0,14.8,0,1,0
13179,GA,Liberty,42.685137,41.003577,9.706397,1.862796,0.452303,0.573653,6.258175,30.244433,39697,21.8,0,30.9,0,1,0
13181,GA,Lincoln,65.045023,32.041021,1.225613,0.4002,0.337669,0.012506,17.458729,20.647824,35201,20.8,0,32,0,1,0
13183,GA,Long,58.704369,24.481471,12.292588,0.760509,0.525442,0.3526,7.293971,30.551715,38243,20.8,0,29.6,1,1,0
13185,GA,Lowndes,56.058151,35.534133,4.795254,1.429055,0.27922,0.084224,9.789166,24.690341,36486,23.3,0,30.4,1,1,0
13187,GA,Lumpkin,91.834079,1.034506,4.485083,0.443836,0.557298,0.080091,12.661016,20.826937,44309,16.5,0,24.5,0,0,0
