FIPS,State,County,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,LACCESS_HHNV10,PCT_LACCESS_HHNV10
13079,GA,Crawford,9.322306478,0.073810819,5.172406575,0.040953338,0.984977873,0.007798716,0.605527226,0.004794356,217.3762712,4.508010601
13081,GA,Crisp,6619.503883,28.24140912,4455.097999,19.00720167,2082.399137,8.884334388,680.6902192,2.904092407,808.5538445,8.905758833
13083,GA,Dade,678.306847,4.078078801,231.3220076,1.390741343,149.0511459,0.896117032,100.5853416,0.604733612,180.9858071,2.876900447
13085,GA,Dawson,0,0,0,0,0,0,0,0,70.33578816,0.83405417
13087,GA,Decatur,4326.083187,15.53797568,1891.672577,6.794312824,1134.312971,4.07410736,555.4270313,1.994925046,505.7021763,4.867200927
13089,GA,DeKalb,181654.9482,26.25477468,58821.61467,8.50154788,47018.11237,6.79557567,15456.71544,2.233974826,4414.430031,1.624092665
13091,GA,Dodge,440.3974998,2.020542759,251.2435591,1.152704896,128.4558978,0.589355376,55.35068816,0.253948835,338.6225239,4.141158419
13093,GA,Dooly,4992.811833,33.46837266,2298.667739,15.40868574,788.2983227,5.284209161,515.5967731,3.456205745,313.0001384,5.92130417
13095,GA,Dougherty,39406.19114,41.67101056,19438.20245,20.55538778,10427.70689,11.02702574,4593.47908,4.857483297,1875.41273,5.136991152
13097,GA,Douglas,42129.39766,31.81906578,13320.37758,10.06048019,11943.77443,9.020773268,3787.336699,2.860461393,723.9740113,1.552792577
13099,GA,Early,1069.77083,9.71812164,609.9466311,5.5409396,298.9442962,2.715700365,161.0077211,1.462642815,280.0657289,6.624071167
13101,GA,Echols,194.3037528,4.816652276,108.8148185,2.697442204,52.03721608,1.289965694,25.0963193,0.622119963,139.9359359,10.52941579
13103,GA,Effingham,6348.947984,12.15109662,2092.668359,4.005106908,1781.223709,3.409040591,652.1758745,1.248183492,391.1769592,2.162154318
13105,GA,Elbert,2948.322742,14.62026551,1636.91579,8.117206141,682.6378456,3.385092956,531.8700938,2.637459555,542.6547501,6.730184176
13107,GA,Emanuel,6645.308093,29.40662047,3506.08218,15.51501097,1633.159412,7.227008639,1017.751733,4.503724813,427.3313407,5.069173674
13109,GA,Evans,610.750598,5.552278163,210.592446,1.914476782,184.8150273,1.680136612,61.14104352,0.555827668,143.429371,3.556394024
13111,GA,Fannin,28.4262718,0.12003324,9.066940094,0.038286209,4.152592276,0.017534804,8.301068449,0.035052227,305.968327,3.003517493
13113,GA,Fayette,42924.92067,40.27974952,7246.438081,6.799889348,11223.58764,10.5319542,5457.259192,5.120965394,597.4643403,1.56539508
13115,GA,Floyd,22005.79841,22.84726311,9557.077213,9.922523763,5093.608905,5.288379938,3295.144748,3.421145538,1689.061249,4.700977593
13117,GA,Forsyth,51465.55476,29.3232645,6382.448945,3.636495117,15685.68919,8.937154473,4313.661968,2.457772999,884.0753818,1.487515996
13119,GA,Franklin,714.8557875,3.236985091,310.5430302,1.406190138,87.90446972,0.39804596,55.01993563,0.249139357,417.1501561,4.88466225
13121,GA,Fulton,199453.6029,21.66605686,59245.4707,6.435660816,53239.39908,5.783238964,19566.73574,2.125476817,8673.064371,2.304355572
13123,GA,Gilmer,1058.267609,3.740518905,636.01849,2.24805065,252.8392596,0.893677575,199.9135727,0.706608132,380.3397435,3.361673533
13125,GA,Glascock,2165.352081,70.25801692,899.9044807,29.19871774,556.1611105,18.04546108,372.21749,12.07714114,36.04282249,3.101791952
13127,GA,Glynn,21864.23823,27.45866705,7011.577114,8.805637749,4970.283711,6.242036158,3567.579988,4.480420952,764.1123632,2.404835284
13129,GA,Gordon,7100.223982,12.86598772,3170.9999,5.746022361,1978.858677,3.585798349,851.9344977,1.543751128,816.0167874,4.139065622
13131,GA,Grady,2633.977074,10.53127453,1343.680683,5.372358895,636.3980045,2.54447245,421.036274,1.683404398,322.0949359,3.419992949
13133,GA,Greene,603.9839136,3.776315579,272.4352331,1.703358967,130.0482753,0.813106636,93.29641425,0.583321335,207.0286221,3.175772696
13135,GA,Gwinnett,260733.2014,32.37630726,61811.58684,7.675397369,76046.70967,9.44303075,18702.75914,2.322398042,1991.377759,0.741615215
13137,GA,Habersham,9084.295771,21.10614477,4670.085427,10.85031813,2182.459482,5.07065236,1114.770111,2.590019076,450.6872189,2.912921528
13139,GA,Hall,51370.45591,28.58933233,17792.75887,9.902249988,13973.63929,7.776785515,5488.373833,3.054458846,1747.175201,2.878804437
13141,GA,Hancock,2302.766532,24.42217131,1693.765173,17.96335956,271.9124146,2.883788468,225.2663164,2.38907961,429.2937664,12.84925969
13143,GA,Haralson,1098.936334,3.818402828,518.1585901,1.800412057,305.5602041,1.06171023,131.0520815,0.455358171,312.9866363,2.909608965
13145,GA,Harris,209.1247264,0.653025001,61.24214314,0.191238269,57.06223449,0.178185843,30.67056447,0.095773684,328.7206706,2.780349071
13147,GA,Hart,832.0920095,3.300249909,484.4471102,1.92141796,193.4005777,0.767066901,146.770744,0.582123286,511.03334,5.049237625
13149,GA,Heard,420.8592547,3.556356724,175.87959,1.486222663,111.6688974,0.943627661,62.47857067,0.527958177,139.3925491,3.16801248
13151,GA,Henry,70655.57932,34.6483358,15401.73533,7.552758079,19920.86095,9.76886307,6548.801203,3.211424566,716.4227538,1.019746287
13153,GA,Houston,50674.09806,36.22165694,13164.30857,9.409798838,13887.52505,9.926751286,4918.508066,3.515731284,763.2678872,1.438743638
13155,GA,Irwin,677.9278068,7.107651571,253.9447512,2.662452833,123.4641078,1.294444409,96.17961635,1.00838348,201.8984607,5.776779992
13157,GA,Jackson,584.4461149,0.966266206,278.6979507,0.460772011,159.3482394,0.263450838,56.36876836,0.093194624,538.5425513,2.52327485
13159,GA,Jasper,916.4318922,6.593035196,409.7636331,2.947939807,243.2497658,1.749998315,105.78703,0.76105777,206.6936606,4.097812463
13161,GA,Jeff Davis,1909.842637,12.67482504,889.5887574,5.903827697,523.2825758,3.472807113,247.9110803,1.645281924,161.537337,2.839468044
13163,GA,Jefferson,336.1349477,1.985439739,165.7753487,0.979181032,92.76990704,0.547961648,42.92947962,0.253570464,284.5392939,4.559193941
13165,GA,Jenkins,1033.717882,12.39469882,583.0080383,6.990504056,258.1940078,3.095851412,149.2024423,1.788998109,103.2262252,3.233904299
13167,GA,Johnson,2189.200496,21.93587671,758.0004418,7.595194808,508.2583615,5.092769153,393.8457201,3.946349901,198.2447135,5.923056872
13169,GA,Jones,1942.311283,6.774953024,949.1164953,3.310602028,484.0581655,1.688437565,209.2154001,0.729761764,276.7267148,2.614081946
13171,GA,Lamar,1016.100615,5.547309138,374.6519927,2.04537857,228.2375792,1.246042361,210.8682043,1.151215834,111.5391812,1.685391074
13173,GA,Lanier,498.6930314,4.948333314,245.4276497,2.435281303,140.117019,1.39032565,32.76731955,0.325137126,43.48442724,1.205222484
13175,GA,Laurens,4790.953479,9.891715487,2344.636931,4.840890554,1280.684616,2.64418511,751.4588682,1.551511063,563.292405,3.021792849
13177,GA,Lee,5407.256965,19.10826548,1073.289662,3.792811018,1566.479168,5.535653291,404.1548223,1.428209846,155.3899508,1.600967967
13179,GA,Liberty,24802.39757,39.08782495,11294.38815,17.79961254,7988.69027,12.58993313,893.5182354,1.40815759,800.7887334,3.614483112
13181,GA,Lincoln,446.8071073,5.587882783,281.5132011,3.520675351,63.81710612,0.798112883,124.4117712,1.555925102,165.0591771,5.030758216
13183,GA,Long,1517.578891,10.49211069,721.9532859,4.991380572,434.8535742,3.006454468,121.0207828,0.836703421,258.1060178,5.138483333
13185,GA,Lowndes,22947.08173,21.0074627,9752.940654,8.928566142,5162.46778,4.726106378,2255.928989,2.065244925,1077.312897,2.710425685
13187,GA,Lumpkin,369.6511925,1.233568686,171.3036836,0.57166016,76.19572558,0.254273929,48.95505934,0.163368682,239.0193757,2.175078494
13189,GA,McDuffie,2063.005576,9.430882634,966.4180575,4.41791112,636.1118131,2.907939717,228.8050517,1.045965951,493.2394181,5.950529836
13191,GA,McIntosh,1258.69006,8.781762784,522.3389052,3.644309671,239.7718057,1.672865456,239.8593605,1.673476317,241.5112756,4.044737491
13193,GA,Macon,2569.963102,17.4352992,1320.612621,8.959380061,282.5963279,1.917207109,183.4975699,1.244895318,402.3788124,8.049186086
13195,GA,Madison,799.8844848,2.84453942,383.1679249,1.362617087,176.0881924,0.626202676,125.7755753,0.447281562,421.5172767,4.011393954
13197,GA,Marion,8092.881601,92.57471518,3645.155814,41.6970466,1975.497042,22.59776987,1099.278111,12.57467526,453.0678272,13.24759729
13199,GA,Meriwether,321.3537148,1.46123006,174.2903986,0.792517273,83.96954293,0.381818584,56.85223085,0.258513236,453.609412,5.322804647
13201,GA,Miller,224.0023482,3.657181194,120.141681,1.961496833,42.80925734,0.69892665,45.33742112,0.740202794,76.37504308,3.14818809
13205,GA,Mitchell,4795.013106,20.40604778,2250.08653,9.575651246,916.0272699,3.898320155,386.6161724,1.645315228,456.417317,5.666260918
13207,GA,Monroe,2826.472637,10.69661155,1096.421774,4.149340654,592.635835,2.242793805,322.5119619,1.22052665,447.8841462,4.635522109
13209,GA,Montgomery,1075.37008,11.78746114,537.4728933,5.891405166,232.4673165,2.548145527,187.9217695,2.05986813,153.1199384,4.658349207
13211,GA,Morgan,3568.733586,19.97276464,1365.751369,7.643560383,873.1054915,4.886419809,716.0723916,4.007568791,225.2420779,3.382013181
13213,GA,Murray,5667.228506,14.30107123,2434.984429,6.144605908,1537.475289,3.879770083,619.4131211,1.563069348,443.0690008,3.146796881
13215,GA,Muscogee,62464.41575,32.89591898,24209.6186,12.7496214,16538.54068,8.709766794,6753.057243,3.556393208,1938.767353,2.617091229
13217,GA,Newton,25556.61962,25.56735791,9264.105623,9.267998182,7521.286639,7.524446906,2194.109967,2.19503188,618.6551489,1.798939078
13219,GA,Oconee,9711.539832,29.60113336,1762.041501,5.370767805,2641.460712,8.051270154,1078.589645,3.287581214,226.8209541,1.951651644
13221,GA,Oglethorpe,673.5751297,4.520941873,228.310074,1.53238522,125.8028484,0.844371088,117.7525812,0.790338823,363.5523454,6.437973179
13223,GA,Paulding,34015.4726,23.90002572,8367.341074,5.879079476,10402.02003,7.308690049,2151.652321,1.511798657,527.69367,1.096962208
13225,GA,Peach,5877.053632,21.22063055,2453.178462,8.857838824,1447.329024,5.22595784,644.4441564,2.326933224,570.8380638,5.732456957
13227,GA,Pickens,1813.087641,6.160469033,708.0129861,2.405670844,474.4338185,1.612020721,245.6712205,0.834736232,342.8705893,3.036671591
13229,GA,Pierce,2277.373365,12.1408112,751.458067,4.006067102,567.3236141,3.024435516,324.9412066,1.732280662,294.6439949,4.159875688
13231,GA,Pike,0,0,0,0,0,0,0,0,134.1065671,2.167554018
13233,GA,Polk,4735.214146,11.4170323,2259.055422,5.44678824,1249.838585,3.013474586,690.5183802,1.664902665,544.3298253,3.606744138
13235,GA,Pulaski,1212.12968,10.09267011,621.4009755,5.174029771,291.6424883,2.428330461,236.6727509,1.970630732,64.47327056,1.440743476
13237,GA,Putnam,740.8340815,3.491535873,291.0284421,1.371611095,149.6684817,0.705384493,143.2823286,0.675286684,223.0881202,2.593746311
13239,GA,Quitman,872.00654,34.69982252,586.4438737,23.33640564,188.8945003,7.516693205,188.2011289,7.489101825,121.2441393,11.51416328
13241,GA,Rabun,115.8387782,0.711715276,23.71249065,0.145689916,17.93113562,0.110169179,30.66556633,0.188409722,133.1766293,1.96425707
13243,GA,Randolph,470.8532596,6.099925632,256.5735191,3.32392174,92.82989983,1.202615622,73.38679939,0.950729361,221.3441307,6.945219036
13245,GA,Richmond,67308.09141,33.56191824,25075.37251,12.50336452,16941.0623,8.447343193,6810.228649,3.395792873,1516.412561,1.971312673
13247,GA,Rockdale,39853.84691,46.76858172,11360.17807,13.3311953,10845.34178,12.72703371,3940.198506,4.623832079,797.6940672,2.656589293
13249,GA,Schley,44.3608584,0.885446275,26.77494654,0.534430071,7.207620166,0.143864674,12.39627528,0.247430644,85.40839087,4.562414042
13251,GA,Screven,3130.901526,21.45481756,1347.134628,9.231375507,843.4340531,5.779716667,454.6989038,3.115869964,405.7231342,7.250234707
13253,GA,Seminole,640.6201517,7.338986731,258.2272039,2.958267888,143.6622691,1.645804435,106.9173216,1.224851891,146.611849,4.178166117
13255,GA,Spalding,10916.09036,17.03695841,4508.821327,7.037006737,2794.057298,4.360740558,1448.66552,2.260960966,802.105755,3.40380121
13257,GA,Stephens,2689.766167,10.27608851,1408.552903,5.381290936,612.2301283,2.338988074,409.8004151,1.565617632,355.7132538,3.457218912
13259,GA,Stewart,1034.38226,17.07464938,407.8526212,6.732463209,206.941645,3.416006025,206.9272357,3.415768169,206.0458081,11.06583287
13261,GA,Sumter,7427.064606,22.63038059,3093.925076,9.427237503,1655.488913,5.044300293,1064.432408,3.243341991,925.1185442,7.631102402
13263,GA,Talbot,305.8334636,4.454966696,175.2906885,2.553396773,51.85256192,0.755317726,57.47945403,0.837282652,330.4924303,11.66993045
13265,GA,Taliaferro,1183.686554,68.93922856,754.3443064,43.93385593,206.3722045,12.01934796,247.8784743,14.43671953,99.66642282,13.131281
