FIPS,State,County,PCT_DIABETES_ADULTS09,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS09,PCT_OBESE_ADULTS10,PCT_OBESE_ADULTS13,PCT_OBESE_CHILD08,PCT_OBESE_CHILD11,PCH_OBESE_CHILD_08_11,PCT_HSPA09,RECFAC07,RECFAC12,PCH_RECFAC_07_12,RECFACPTH07,RECFACPTH12,PCH_RECFACPTH_07_12,NATAMEN
13153,GA,Houston,10.7,9.7,28.8,29.9,30.3,12.1,13.8,1.7,23.7,8,11,37.5,0.060933347,0.075272349,23.53227473,3
13155,GA,Irwin,11.7,12.3,31.2,31,30.3,16.1,11.6,-4.5,23.7,0,1,0,0,0.104166667,,4
13157,GA,Jackson,10.7,9.3,25.7,26.4,30.3,15,11.7,-3.3,23.7,2,4,100,0.033485693,0.066038203,97.21318783,3
13159,GA,Jasper,11.6,11.8,29.2,29.8,30.3,13.5,12.6,-0.9,23.7,1,1,0,0.073206442,0.073367572,0.220102715,4
13161,GA,Jeff Davis,10.8,11.7,27,28.5,30.3,15.2,13.8,-1.4,23.7,1,0,-100,0.075545819,0,-100,3
13163,GA,Jefferson,14,14.1,37.4,37.8,30.3,13.9,13.5,-0.4,23.7,0,0,0,0,0,0,3
13165,GA,Jenkins,12.8,13.5,32.6,31.9,30.3,16,14.1,-1.9,23.7,2,0,-100,0.234137204,0,-100,3
13167,GA,Johnson,13.2,13.4,34.8,32.5,30.3,13.3,10.3,-3,23.7,0,0,0,0,0,0,3
13169,GA,Jones,11.4,13,29.6,31,30.3,12.6,12.5,-0.1,23.7,4,2,-50,0.146632941,0.069986353,-52.27105714,4
13171,GA,Lamar,11.8,11.8,30,33.2,30.3,11.2,11.9,0.7,23.7,1,0,-100,0.059066745,0,-100,3
13173,GA,Lanier,11.6,11.2,31.1,29.2,30.3,13.5,15.5,2,23.7,0,0,0,0,0,0,4
13175,GA,Laurens,12.5,11.8,35.9,35.2,30.3,17.8,12.1,-5.7,23.7,4,2,-50,0.084245998,0.041631107,-50.58387627,3
13177,GA,Lee,9.2,11.1,28.1,30.8,30.3,13.6,13.1,-0.5,23.7,2,0,-100,0.060554681,0,-100,4
13179,GA,Liberty,10.7,10.2,31.8,33.1,30.3,8.2,6,-2.2,23.7,1,1,0,0.016517459,0.015273938,-7.528524079,4
13181,GA,Lincoln,13.7,13.7,33,35.4,30.3,10.2,11.5,1.3,23.7,1,0,-100,0.124517495,0,-100,4
13183,GA,Long,10,10.1,30.3,30.5,30.3,13.4,9.6,-3.8,23.7,0,0,0,0,0,0,3
13185,GA,Lowndes,11,11.1,34,31.3,30.3,16.4,12.7,-3.7,23.7,8,6,-25,0.078651133,0.052377959,-33.4046983,4
13187,GA,Lumpkin,8.9,9.1,27.6,28.8,30.3,12.9,10.4,-2.5,23.7,3,2,-33.33333333,0.112752283,0.06533599,-42.05351018,4
13189,GA,McDuffie,12.8,14.7,30.1,32.5,30.3,18.6,11.9,-6.7,23.7,1,0,-100,0.046455449,0,-100,4
13191,GA,McIntosh,13.4,13.5,31.5,31.5,30.3,9.8,10.6,0.8,23.7,1,0,-100,0.087313368,0,-100,4
13193,GA,Macon,14.8,14.3,33.5,34.2,30.3,16.1,17.5,1.4,23.7,0,0,0,0,0,0,3
13195,GA,Madison,10.9,11.8,30.7,31.7,30.3,16.1,11,-5.1,23.7,2,0,-100,0.07199424,0,-100,3
13197,GA,Marion,12,14.1,31.7,31.9,30.3,14.1,15.2,1.1,23.7,0,0,0,0,0,0,3
13199,GA,Meriwether,13.5,13.2,31.6,32.3,30.3,11.6,12.3,0.7,23.7,1,0,-100,0.043882745,0,-100,3
13201,GA,Miller,14.7,14.4,32.5,31.6,30.3,13.2,13,-0.2,23.7,0,0,0,0,0,0,3
13205,GA,Mitchell,12.1,12.9,34.3,31.3,30.3,12.7,11.6,-1.1,23.7,1,0,-100,0.041517894,0,-100,3
13207,GA,Monroe,11.4,12.3,30.9,32.6,30.3,14.9,15.2,0.3,23.7,2,3,50,0.079779808,0.112625296,41.17017682,4
13209,GA,Montgomery,10.5,12.3,31.4,32.7,30.3,12.2,13,0.8,23.7,0,0,0,0,0,0,4
13211,GA,Morgan,12.7,13.6,29.3,31.5,30.3,27.5,18.2,-9.3,23.7,0,2,0,0,0.111850568,0,4
13213,GA,Murray,10.5,11.6,29.6,27.7,30.3,14.9,14.5,-0.4,23.7,1,0,-100,0.02455253,0,-100,4
13215,GA,Muscogee,12.7,12.5,35.1,35.8,30.3,12.7,10.1,-2.6,23.7,17,14,-17.64705882,0.091097619,0.070559893,-22.5447455,4
13217,GA,Newton,10.6,11.2,31.4,31.7,30.3,12.4,11.8,-0.6,23.7,8,6,-25,0.083560513,0.059110389,-29.26038126,4
13219,GA,Oconee,8.9,9.6,26.1,26.7,30.3,18.3,11.1,-7.2,23.7,5,6,20,0.158674749,0.178470508,12.47568339,3
13221,GA,Oglethorpe,11.2,11.7,30.8,28.9,30.3,15.4,19.4,4,23.7,1,1,0,0.071622977,0.068408811,-4.487618005,3
13223,GA,Paulding,9.7,10.8,26.3,25.6,30.3,11,8.2,-2.8,23.7,18,14,-22.22222222,0.140731648,0.096685083,-31.29826581,4
