FIPS,State,County,GROC07,GROC12,PCH_GROC_07_12,GROCPTH07,GROCPTH12,PCH_GROCPTH_07_12,SUPERC07,SUPERC12,PCH_SUPERC_07_12,SUPERCPTH07,SUPERCPTH12,PCH_SUPERCPTH_07_12,CONVS07,CONVS12,PCH_CONVS_07_12,CONVSPTH07,CONVSPTH12,PCH_CONVSPTH_07_12,SPECS07,SPECS12,PCH_SPECS_07_12,SPECSPTH07,SPECSPTH12,PCH_SPECSPTH_07_12,SNAPS08,SNAPS12,PCH_SNAPS_08_12,SNAPSPTH08,SNAPSPTH12,PCH_SNAPSPTH_08_12,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12
13031,GA,Bulloch,7,9,28.57142857,0.105402638,0.123806642,17.46066683,1,1,0,0.01505752,0.013756294,-8.641703579,66,48,-27.27272727,0.993796302,0.660302088,-33.5576026,1,3,200,0.01505752,0.041268881,174.0748893,54.25,85.83333333,58.21812596,0.800206505,1.180748526,47.55547706,7,8,14.28571,0.1032525,0.1100504,6.583761
13033,GA,Burke,3,3,0,0.131446348,0.12972973,-1.305945946,1,1,0,0.043815449,0.043243243,-1.305945946,14,16,14.28571429,0.613416291,0.691891892,12.79320463,0,1,0,0,0.043243243,0,25.58333333,30.16666667,17.91530945,1.120110917,1.304504505,16.46208293,7,5,-28.57143,0.3064799,0.2162162,-29.45174
13035,GA,Butts,5,3,-40,0.21147014,0.127529332,-39.6939296,0,0,0,0,0,0,10,25,150,0.422940281,1.062744431,151.2752933,1,0,-100,0.042294028,0,-100,9.666666667,24.25,150.862069,0.396369799,1.030862098,160.0758433,5,5,0,0.2050189,0.2125489,3.672842
13037,GA,Calhoun,2,1,-50,0.334001336,0.153751538,-53.96678967,0,0,0,0,0,0,3,5,66.66666667,0.501002004,0.768757688,53.44403444,0,0,0,0,0,0,6.75,8.083333333,19.75308642,1.097204161,1.242824928,13.27198457,3,3,0,0.4876463,0.4612546,-5.412061
13039,GA,Camden,4,5,25,0.084450544,0.09727248,15.18277499,1,1,0,0.021112636,0.019454496,-7.853780009,35,35,0,0.738942257,0.680907358,-7.853780009,5,2,-60,0.10556318,0.038908992,-63.141512,32.16666667,50.58333333,57.25388601,0.670516054,0.984073253,46.76356316,9,10,11.11111,0.1876055,0.194545,3.698945
13043,GA,Candler,2,3,50,0.191717791,0.269856976,40.75739858,0,0,0,0,0,0,10,17,70,0.958588957,1.52918953,59.52505172,0,1,0,0,0.089952325,0,9.083333333,15.33333333,68.80733945,0.865491504,1.379268987,59.36251035,1,2,100,0.0952835,0.1799047,88.80993
13045,GA,Carroll,21,24,14.28571429,0.187620613,0.21509231,14.64215297,1,2,100,0.008934315,0.017924359,100.6237677,86,87,1.162790698,0.768351083,0.779709625,1.478301104,6,3,-50,0.05360589,0.026886539,-49.84405807,63.25,125.5833333,98.55072464,0.55589246,1.125500388,102.467288,20,21,5,0.1757763,0.1882058,7.071199
13047,GA,Catoosa,10,8,-20,0.160110156,0.122989884,-23.1842081,1,2,100,0.016011016,0.030747471,92.03947975,35,27,-22.85714286,0.560385545,0.415090859,-25.92762924,1,1,0,0.016011016,0.015373736,-3.980260124,31.83333333,62.25,95.54973822,0.503572464,0.957015036,90.04514807,11,11,0,0.1740093,0.1691111,-2.814927
13049,GA,Charlton,2,2,0,0.188821752,0.150432493,-20.33095149,0,0,0,0,0,0,5,9,80,0.472054381,0.67694622,43.40428733,0,0,0,0,0,0,11.08333333,16.25,46.61654135,1.023108403,1.222264009,19.46573843,3,3,0,0.2769316,0.2256487,-18.51823
13051,GA,Chatham,53,52,-1.886792453,0.213197316,0.188110001,-11.76718152,4,6,50,0.016090363,0.021705,34.89440517,305,169,-44.59016393,1.226890215,0.611357503,-50.17015415,29,26,-10.34482759,0.116655135,0.094055,-19.37345898,133.1666667,236.9166667,77.90988736,0.530225508,0.857046046,61.63802615,50,48,-4,0.1990834,0.17364,-12.78027
