,Unnamed: 0,Unnamed: 0.1,FIPS,State,County,PCT_DIABETES_ADULTS09,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS09,PCT_OBESE_ADULTS10,PCT_OBESE_CHILD08,PCT_OBESE_CHILD11,PCH_OBESE_CHILD_08_11,RECFAC07,RECFAC12,PCH_RECFAC_07_12,RECFACPTH07,RECFACPTH12,PCH_RECFACPTH_07_12,NATAMEN
0,0,0,13001,GA,Appling,0.4999999999999999,0.6568627450980393,0.669014084507042,0.7380952380952378,0.4072727272727272,0.4166666666666666,0.6645962732919255,0.023809523809523808,0.008064516129032258,0.16666666665000002,0.5952247962851736,0.05444250900000002,0.16164096116240384,0.5
1,1,1,13003,GA,Atkinson,0.298076923076923,0.3627450980392157,0.4154929577464788,0.5297619047619048,0.7454545454545455,0.9102564102564101,0.5652173913043478,0.0,0.0,0.5,0.0,0.0,0.497462358201097,0.5
2,2,2,13005,GA,Bacon,0.3557692307692307,0.3725490196078432,0.5422535211267605,0.5297619047619048,0.48,0.3525641025641025,0.4782608695652174,0.015873015873015872,0.0,0.0,0.6725672081222571,0.0,0.0,0.0
3,3,3,13007,GA,Baker,0.5769230769230769,0.6960784313725491,0.6971830985915495,0.6369047619047619,0.4872727272727273,0.45512820512820507,0.5652173913043478,0.0,0.0,0.5,0.0,0.0,0.497462358201097,0.0
4,4,4,13009,GA,Baldwin,0.4615384615384614,0.3921568627450981,0.5633802816901409,0.6011904761904762,0.5636363636363636,0.4294871794871794,0.40993788819875776,0.023809523809523808,0.04838709677419355,1.0,0.2290900889026269,0.12940237699999999,0.9982291872232104,0.5
5,5,5,13011,GA,Banks,0.3365384615384615,0.3431372549019609,0.2957746478873239,0.375,0.5563636363636364,0.5128205128205128,0.5031055900621118,0.015873015873015872,0.008064516129032258,0.25,0.4320987672302778,0.054597074,0.2232958494302265,0.0
6,6,6,13013,GA,Barrow,0.3269230769230769,0.4215686274509804,0.3943661971830985,0.6130952380952382,0.5490909090909091,0.7564102564102564,0.7515527950310559,0.023809523809523808,0.024193548387096774,0.5,0.1586645828506892,0.042753923,0.4762009804976116,0.0
7,7,7,13015,GA,Bartow,0.24038461538461536,0.4019607843137256,0.1549295774647887,0.44642857142857134,0.5454545454545454,0.5576923076923076,0.5652173913043478,0.07142857142857142,0.06451612903225806,0.44444444445,0.3448396724244012,0.079474672,0.40729195542024704,0.5
8,8,8,13017,GA,Ben Hill,0.596153846153846,0.6862745098039217,0.6619718309859157,0.6845238095238093,0.5890909090909091,0.5,0.43478260869565216,0.007936507936507936,0.008064516129032258,0.5,0.20043444090916612,0.05701904400000001,0.5027382162587835,0.0
9,9,9,13019,GA,Berrien,0.4326923076923077,0.4411764705882354,0.5070422535211268,0.4880952380952381,0.8218181818181819,0.4615384615384615,0.0,0.007936507936507936,0.008064516129032258,0.5,0.2128520057239159,0.05251825,0.43604047886429015,0.5
10,10,10,13021,GA,Bibb,0.548076923076923,0.4705882352941176,0.4788732394366198,0.5,0.44,0.39102564102564097,0.5838509316770186,0.10317460317460317,0.12096774193548387,0.5769230769,0.29816128603654674,0.09586992400000001,0.5682316727988578,0.5
11,11,11,13023,GA,Bleckley,0.4519230769230768,0.4901960784313727,0.38028169014084495,0.4880952380952381,0.3781818181818182,0.5641025641025641,0.8571428571428571,0.007936507936507936,0.0,0.0,0.2769548610859353,0.0,0.0,0.5
12,12,12,13025,GA,Brantley,0.298076923076923,0.3529411764705883,0.4154929577464788,0.5416666666666666,0.36,0.4166666666666666,0.7453416149068323,0.007936507936507936,0.008064516129032258,0.5,0.2301736440330414,0.053801044000000006,0.4130754848332688,0.0
13,13,13,13027,GA,Brooks,0.6923076923076922,0.7352941176470591,0.5352112676056336,0.6785714285714283,0.4472727272727273,0.4743589743589744,0.6521739130434782,0.0,0.0,0.5,0.0,0.0,0.497462358201097,0.5
14,14,14,13029,GA,Bryan,0.22115384615384606,0.29411764705882365,0.35915492957746464,0.38095238095238093,0.0,0.33974358974358976,0.5838509316770186,0.05555555555555555,0.024193548387096774,0.2142857143,0.8266021800761754,0.09312721199999999,0.19910142329567185,0.5
15,15,15,13031,GA,Bulloch,0.40384615384615374,0.3431372549019609,0.556338028169014,0.6607142857142856,0.5272727272727272,0.4807692307692307,0.5217391304347826,0.047619047619047616,0.03225806451612903,0.33333333335,0.3209510318177638,0.055025174,0.302982090538769,0.5
16,16,16,13033,GA,Burke,0.5288461538461539,0.5196078431372549,0.9929577464788732,0.8333333333333331,0.4872727272727273,0.4358974358974359,0.546583850931677,0.015873015873015872,0.0,0.0,0.3113087688165756,0.0,0.0,0.0
17,17,17,13035,GA,Butts,0.4999999999999999,0.5490196078431373,0.5422535211267605,0.6964285714285714,0.3563636363636364,0.14743589743589747,0.4906832298136646,0.007936507936507936,0.016129032258064516,1.0,0.15024953452747045,0.085019554,1.0,0.5
