,FIPS,State,County,REDEMP_SNAPS08,REDEMP_SNAPS12,PCH_REDEMP_SNAPS_08_12,PC_SNAPBEN08,PC_SNAPBEN10,PCH_PC_SNAPBEN_08_10,PCT_FREE_LUNCH06,PCT_FREE_LUNCH10,PCT_REDUCED_LUNCH06,PCT_REDUCED_LUNCH10,PC_WIC_REDEMP08
32,13067,GA,Cobb,0.370671706,0.257370642,0.000103269,0.100357825,0.142770541,0.663403951,0.248737374,0.29546049,0.195652174,-1.655268347,0.145999159
33,13069,GA,Coffee,0.232090245,0.206837705,0.000136841,0.522170913,0.63558429,0.377720539,0.606060606,0.663572543,0.507246377,-2.793801787,0.533310967
34,13071,GA,Colquitt,0.355824611,0.305291988,0.000141899,0.505426815,0.642248391,0.414574945,0.58459596,0.649651618,0.369565217,-2.123882154,0.435271976
35,13073,GA,Columbia,0.459280382,0.297285007,9.52E-05,0.088836498,0.069471097,0.406455048,0.083333333,0.120217465,0.224637681,-2.177010688,0.10866433
36,13075,GA,Cook,0.248467882,0.16569636,8.87E-05,0.539818857,0.631979355,0.34522271,0.505050505,0.589294429,0.442028986,-2.573707063,0.402786392
37,13077,GA,Coweta,0.419252119,0.247596162,7.98E-05,0.208135686,0.262394613,0.48894174,0.203282828,0.264360254,0.239130435,-2.95039583,0.095439883
38,13079,GA,Crawford,0.191631125,0.081658999,3.18E-05,0.386809776,0.479029675,0.413584094,0.542929293,0.690357203,0.666666667,-3.641158511,0.229684866
39,13081,GA,Crisp,0.460741375,0.32733618,0.000110995,0.780313137,0.747895569,0.180432467,0.694444444,0.724033214,0.210144928,-0.792489003,0.615245491
40,13083,GA,Dade,0.105540117,0.082553684,8.56E-05,0.174414833,0.262259203,0.640883113,0.25,0.355961743,0.688405797,-4.322173728,0.150162609
41,13085,GA,Dawson,0.404339541,0.243030466,8.19E-05,0.182801001,0.244607626,0.546805209,0.154040404,0.272434456,0.34057971,-2.923486429,0.256483176
42,13087,GA,Decatur,0.374365405,0.293654408,0.000125308,0.643270088,0.706572823,0.28607741,0.603535354,0.649757151,0.34057971,-1.976461805,0.346349487
43,13089,GA,DeKalb,0.573175161,0.399576897,0.000110841,0.295449872,0.386669801,0.480129065,0.573232323,0.599214329,0.311594203,-1.811962651,0.256852708
44,13091,GA,Dodge,0.373905457,0.250884436,9.78E-05,0.520241086,0.525032932,0.242883536,0.534090909,0.562495294,0.572463768,-2.978922725,0.37229375
45,13093,GA,Dooly,0.100417354,0.108719491,0.000134638,0.593509858,0.448970433,0.06628493,0.830808081,0.760406288,0.362318841,-4.482188406,0.327253869
46,13095,GA,Dougherty,0.59765844,0.414554676,0.00011049,0.789117052,0.844017482,0.254674524,0.714646465,0.769603084,0.347826087,-1.678260073,0.373595061
47,13097,GA,Douglas,0.929143478,0.40652333,4.66E-05,0.289446039,0.355664605,0.434191064,0.338383838,0.449426218,0.47826087,-2.753426956,0.276339589
48,13099,GA,Early,0.321365422,0.242791864,0.000114993,0.865524553,0.881258769,0.214899703,0.672979798,0.681369717,0.333333333,-2.488903733,0.481258536
49,13101,GA,Echols,0.607386563,0.036851386,1,0.314648471,0.709850729,0.246207238,0.513888889,0.624150852,0.456521739,-1.973311155,0.329370486
50,13103,GA,Effingham,0.251042149,0.171933916,9.30E-05,0.175497655,0.211687793,0.480907577,0.150252525,0.217905383,0.326086957,-3.025135963,0.0861334
