,FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC10,POVRATE10,PERPOV10,CHILDPOVRATE10,PERCHLDPOV10,METRO13
0,13001,GA,Appling,0.6844610702731247,0.2464145717249288,0.27657695421628536,0.062233475098738,0.16088032148779788,0.1051506747110187,0.3818861245962623,0.6767925444290754,0.22018634616050708,0.5668789808917197,0.0,0.54251012145749,1.0,0.0
1,13003,GA,Atkinson,0.5210390473268718,0.22771279887300597,0.7631591050459953,0.01625276543559554,0.2714874678288498,0.2914026423639378,0.27049803531955163,0.8967660519320922,0.08125800976758685,0.9426751592356687,1.0,0.9959514170040487,1.0,0.0
2,13005,GA,Bacon,0.7511818520404098,0.20368206712635917,0.20472023232773576,0.026110076868959862,0.052880606068162854,0.15710368463165017,0.376799911548212,0.6585439713447351,0.13517024003325137,0.6019108280254777,1.0,0.5384615384615385,1.0,0.0
3,13007,GA,Baker,0.406347422782599,0.626591751457135,0.10978476705309466,0.06318592666561328,0.19128054563150804,0.10102623014261235,0.45598806057692837,0.5068645177949737,0.17427522427349243,0.6146496815286624,1.0,0.6417004048582997,1.0,1.0
4,13009,GA,Baldwin,0.4846928051579072,0.5572037022610299,0.038701244936285864,0.11780750871873442,0.13635946900824478,0.06863033924689665,0.3261872966608666,0.32160190465455274,0.21135395379446503,0.6464968152866242,0.0,0.5182186234817814,1.0,0.0
5,13011,GA,Banks,0.9194265068498173,0.02646419239183793,0.15705656446573774,0.082392397465644,0.14354072249673794,0.0,0.34407188746548767,0.643222483973544,0.31708288594090955,0.30891719745222923,0.0,0.3198380566801619,0.0,0.0
6,13013,GA,Barrow,0.7341923677577962,0.14809525834486872,0.2557811594578007,0.321007532506198,0.1374559835588828,0.07036483727967953,0.21965468516103634,0.8446871150659604,0.49364414117973054,0.16878980891719744,0.0,0.17813765182186234,0.0,1.0
7,13015,GA,Bartow,0.7960506337068738,0.13188076479647393,0.22253476933970837,0.06399065960844845,0.21090412208791037,0.09398538837938615,0.2692238355612258,0.7451563260862426,0.3452945862630321,0.24840764331210188,0.0,0.2631578947368421,0.0,1.0
8,13017,GA,Ben Hill,0.5284668967058258,0.46541025840780453,0.16221876516503286,0.06176144261817634,0.1954883743786723,0.019771534359621583,0.40258070637535076,0.7259173240361271,0.1043088220013162,0.6751592356687898,1.0,0.659919028340081,1.0,0.0
9,13019,GA,Berrien,0.8390680349611216,0.13962812055515544,0.1223413574986561,0.03742837314524973,0.16733398806376065,0.02711569537682188,0.395422972842635,0.6679896569229029,0.15538083197672406,0.4777070063694267,0.0,0.5020242914979758,1.0,0.0
