,FIPS,State,County,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,LACCESS_HHNV10,PCT_LACCESS_HHNV10
90,13183,GA,Long,0.005454332,0.113336678,0.011679902,0.113611256,0.005718243,0.133042087,0.004876177,0.057956617,0.025710622,0.313969495
91,13185,GA,Lowndes,0.08247413,0.226924411,0.157784991,0.203227464,0.067885485,0.209140389,0.090896028,0.143055001,0.12055893,0.140587894
92,13187,GA,Lumpkin,0.001328564,0.013325115,0.002771385,0.013011837,0.00100196,0.011252169,0.0019725,0.011316191,0.023500758,0.102360073
93,13189,GA,McDuffie,0.00741465,0.101873202,0.015634901,0.100558238,0.008364751,0.128682597,0.009219027,0.072451775,0.052934521,0.37195573
94,13191,GA,McIntosh,0.004523859,0.094861354,0.008450501,0.082949916,0.003152954,0.0740279,0.009664428,0.115918046,0.023789272,0.235867805
95,13193,GA,Macon,0.009236707,0.188337595,0.021365131,0.203928835,0.003716089,0.084840545,0.007393495,0.086231177,0.04241462,0.52181559
96,13195,GA,Madison,0.002874866,0.030726958,0.006198966,0.031015195,0.002315527,0.027710817,0.005067757,0.030982216,0.044630484,0.233486825
97,13197,GA,Marion,0.029086634,1,0.058972047,0.949086888,0.025977416,1,0.04429218,0.871020264,0.048283428,0.893021297
98,13199,GA,Meriwether,0.001154978,0.015784332,0.002819704,0.018038874,0.001104184,0.016896295,0.002290694,0.017906647,0.048346133,0.327131424
99,13201,GA,Miller,0.000805087,0.039505184,0.001943676,0.04464659,0.000562934,0.03092901,0.001826738,0.051272229,0.004669691,0.171847426
100,13205,GA,Mitchell,0.017233762,0.220427875,0.036402342,0.217956085,0.012045587,0.172509065,0.015577562,0.113967389,0.048671234,0.351656789
101,13207,GA,Monroe,0.010158628,0.115545714,0.017738127,0.094445174,0.00779305,0.099248458,0.012994672,0.084543213,0.047683258,0.278054276
102,13209,GA,Montgomery,0.003864989,0.127329165,0.008695342,0.134097157,0.003056902,0.112760929,0.007571755,0.142682562,0.013555265,0.279684302
103,13211,GA,Morgan,0.012826389,0.215747514,0.022095394,0.173978819,0.011481174,0.216234604,0.028852032,0.277595529,0.021905613,0.188544298
104,13213,GA,Murray,0.020368592,0.154481396,0.039393657,0.139860383,0.020217512,0.171688185,0.024957431,0.108270397,0.047125757,0.171748083
105,13215,GA,Muscogee,0.224503421,0.355344534,0.391667968,0.290200373,0.217478715,0.385425944,0.272094593,0.246343582,0.22029869,0.133923111
