,FIPS,State,County,FFR07,FFR12,PCH_FFR_07_12,FFRPTH07,FFRPTH12,PCH_FFRPTH_07_12,FSR07,FSR12,PCH_FSR_07_12,FSRPTH07,FSRPTH12,PCH_FSRPTH_07_12
77,13157,GA,Jackson,0.023809524,0.033488372,0.391304348,0.341262745,0.525379796,0.405648624,0.02722323,0.024141133,0.288888889,0.502285399,0.42924832,-14.54095194
78,13159,GA,Jasper,0.005175983,0.00372093,0.2,0.324377745,0.259417785,0.210724104,0.005444646,0.004642526,0.277777778,0.439238653,0.366837858,-16.48324774
79,13161,GA,Jeff Davis,0.00931677,0.00744186,0.222222222,0.602538339,0.466595989,0.204043063,0.007259528,0.00371402,0.166666667,0.604366548,0.263921879,-56.33082608
80,13163,GA,Jefferson,0.010351967,0.010232558,0.275,0.540860543,0.591749459,0.288282374,0.00907441,0.005571031,0.2,0.610314312,0.365141188,-40.17161636
81,13165,GA,Jenkins,0.007246377,0.004651163,0.178571429,0.726223366,0.479738468,0.174060347,0.001814882,0.002785515,0.5,0.234137204,0.325626832,39.0752198
82,13167,GA,Johnson,0.002070393,0.00744186,1,0.188272785,0.714532566,1,0.001814882,0.000928505,0.166666667,0.212449543,0.101040719,-52.44013337
83,13169,GA,Jones,0.00931677,0.006511628,0.194444444,0.292378752,0.216529471,0.195135698,0.007259528,0.011142061,0.5,0.293265882,0.419918116,43.18682857
84,13171,GA,Lamar,0.008281573,0.006511628,0.21875,0.418759598,0.342679444,0.215619879,0.011796733,0.008356546,0.230769231,0.76786769,0.498421665,-35.0901632
85,13173,GA,Lanier,0.00310559,0.004651163,0.416666667,0.331703057,0.424983703,0.337589027,0.004537205,0.005571031,0.4,0.623830318,0.576923077,-7.519230769
86,13175,GA,Laurens,0.041407867,0.039069767,0.2625,0.746588037,0.77281023,0.27274535,0.026315789,0.030640669,0.379310345,0.610783488,0.686913262,12.46428159
87,13177,GA,Lee,0.00931677,0.010232558,0.305555556,0.241486012,0.33826018,0.369083317,0.005444646,0.005571031,0.333333333,0.181664043,0.208724692,14.89598553
88,13179,GA,Liberty,0.044513458,0.045581395,0.284883721,0.629424201,0.661580531,0.276952187,0.023593466,0.023212628,0.320512821,0.429453933,0.381848452,-11.08511931
89,13181,GA,Lincoln,0.005175983,0.002790698,0.15,0.551737019,0.342755371,0.16368831,0.004537205,0.006499536,0.466666667,0.622587474,0.904743441,45.31989143
90,13183,GA,Long,0.002070393,0.002790698,0.375,0.157714896,0.1652479,0.276076065,0.002722323,0.00185701,0.222222222,0.266951415,0.124626122,-53.31505484
91,13185,GA,Lowndes,0.097308489,0.102325581,0.292553192,0.818982451,0.848839576,0.273096758,0.074410163,0.078922934,0.345528455,0.806174114,0.742021091,-7.957713102
92,13187,GA,Lumpkin,0.01863354,0.020465116,0.305555556,0.59952644,0.635302807,0.27921449,0.017241379,0.017641597,0.333333333,0.714097794,0.620691908,-13.08026526
93,13189,GA,McDuffie,0.020703934,0.015813953,0.2125,0.823376381,0.693690796,0.221989814,0.010889292,0.011142061,0.333333333,0.557465391,0.553939898,-0.632414716
